User_Id,Location,Age,Place_Id,Place_Ratings,Place_Name,Description,Category,City,Price,Rating,Time_Minutes,Coordinate,Lat,Long,Age_Group,visit_count,price_range
1,"Semarang, Jawa Tengah",20,393,5,Taman Harmoni Keputih,"Tempat tersebut ialah Taman Hatmoni Keputih Surabaya yang memiliki segudang koleksi bunga warna-warni. Dulunya tempat ini merupakan lokasi pembuangan sampah atau TPA, namun kini bertransformasi menjadi sebuah wisata taman yang sangat cantik. Bukan hanya cantik, namun bunga-bunga yang bermekaran di Taman Harmoni terlihat sangat instagramable, sehingga tak heran jika mayoritas pengunjung tempat ini merupakan para kaum kawula muda penggiat sosial media. Lantas berapa sih budget untuk memasuki kawasan Taman Harmoni Surabaya ini? Kamu nggak perlu khawatir, karena harga tiket masuk Taman Harmoni Keputih Surabaya ini gratis. Kamu hanya perlu menyiapkan kocek untuk membayar karcis parkir saja.",Cagar Alam,Surabaya,0,4.4,60.0,"{'lat': -7.2952211, 'lng': 112.8035603}",-7.2952211,112.8035603,18-25,3,Murah
1,"Semarang, Jawa Tengah",20,405,5,Surabaya North Quay,"Surabaya menjadi kota besar yang sering menjadi tempat tujuan wisata. Berbagai tempat belanja dari tradisional hingga modern ada di Ibukota Jawa Timur ini. Namun, apakah tidak bosan wisata belanja saja di Surabaya? Jika bosan, datanglah ke Surabaya North Quay, objek wisata baru di Surabaya. Surabaya North Quay sebenarnya adalah terminal bagi kapal pesiar mewah yang bersandar. Namun, tempat ini sengaja dibenahi supaya dapat menjadi tempat wisata bagi warga Surabaya dan sekitarnya. Bahkan, tak sedikit yang berasal dari luar daerah yang penasaran ingin menikmati pemandangan menakjubkan. Lautan lepas dengan kapal pesiar mewah yang bersandar di terminal ini, menjadi daya tarik utamanya.",Taman Hiburan,Surabaya,50000,4.4,0.0,"{'lat': -7.1968193, 'lng': 112.7324578}",-7.1968193,112.7324578,18-25,3,Sedang
1,"Semarang, Jawa Tengah",20,428,3,Monumen Bambu Runcing Surabaya,"Monumen Bambu Runcing adalah ikon pariwisata Surabaya yang berhubungan dengan situs sejarah perjuangan bangsa. Monumen ini terdiri dari 5 pilar dan memiliki tinggi yang tidak sama dan dibentuk seperti bambu runcing. Sayangnya, tidak ada estimasi yang tepat tentang tinggi pada masing-masing pilar. Pada waktu tertentu, akan ada air yang mengalir keluar dari bambu runcing, layaknya air mancur. Selain itu, monumen ini dikelilingi oleh taman kecil yang penuh dengan beragam tanaman hias. Monumen Bambu Runcing ini terletak di jantung kota Surabaya, di tengah ramainya lalu lintas jalan Panglima Sudirman. Para pengunjung yang datang ke Surabaya akan langsung mengenali keberadaan monumen ini saat melintasinya. Monumen ini juga dekat dengan Kebun Binatang Surabaya, Tunjungan Plaza, Surabaya Plaza dan Tugu Pahlawan Surabaya.",Budaya,Surabaya,0,4.6,15.0,"{'lat': -7.267775500000001, 'lng': 112.7443898}",-7.2677755,112.7443898,18-25,3,Murah
2,"Bekasi, Jawa Barat",21,413,3,Museum TNI AL Loka Jala Crana,"Museum Loka Jala Crana berdiri pada tanggal 19 September 1969 oleh Ibu R. Mulyadi, isteri panglima Angkatan Laut Laksamana R. Moeljadi, dengan nama Museum Akabri Laut. Pada tahun 1973, tepatnya pada tanggal 10 Juli 1973, statusnya ditingkatkan menjadi Museum TNI Angkatan Laut. Selanjutnya tanggal 6 Oktober 1979 namanya berubah kembali menjadi Museum TNI Angkatan Laut Loka Jala Crana. Loka jala Crana berarti tempat untuk menyimpan, mengabadikan dan menyajikan peralatan atau sarana yang dipergunakan oleh TNI Angkatan Laut. Di dalam museum ini terdapat beberapa koleksi peralatan pertempuran Angkatan Laut, disamping itu juga satu koleksi berupa planetarium dan astronavigasi. Museum ini menyuguhkan dan menyelamatkan objek benda-benda bersejarah yang pernah dimiliki serta dipakai oleh prajurit-prajurit TNI Angkatan Laut sejak dari zaman revolusi fisik hingga saat ini, di antaranya berupa berbagai jenis meriam kapal perang, pesawat, helikopter, artileri medan, replica KRI Dewaruci. Ada juga benda bersejarah lain seperti meriam kapal ""HRMS De Zeven Provencien“.",Budaya,Surabaya,2000,4.5,0.0,"{'lat': -7.227185, 'lng': 112.718997}",-7.227185,112.718997,18-25,5,Murah
2,"Bekasi, Jawa Barat",21,437,5,Gereja Perawan Maria Tak Berdosa Surabaya,"Gereja Katolik Kelahiran Santa Perawan Maria merupakan salah satu gereja tua di kota Surabaya, Jawa Timur, Indonesia. Berlokasi di Jalan Kepanjen, Surabaya, bangunan religius ini berdampingan dengan gedung SMA Katolik Frateran Surabaya.",Tempat Ibadah,Surabaya,10000,4.8,0.0,"{'lat': -7.2420758, 'lng': 112.7368158}",-7.2420758,112.7368158,18-25,5,Murah
2,"Bekasi, Jawa Barat",21,407,5,Taman Ekspresi Dan Perpustakaan,"Taman Ekspresi Surabaya tidak hanya menyuguhkan taman yang rindang dan asri. Taman di Jalan Gentengkali ini juga punya fasilitas penunjang berupa perpustakaan di sisi barat. Perpustakaan yang dikelola Dinas Perpustakaan dan Kearsipan Kota Surabaya tersebut memiliki 3.412 koleksi buku. Buku-buku yang ada di perpustakaan sangat lengkap dan baru, dari cetakan 2009 sampai terbaru 2019. Mulai buku bahasa, filsafat, psikologi, agama, matematika, ilmu alam, ilmu sosial, keluarga, teknologi, seni, sastra, geografis, sejarah, hingga bacaan untuk anak-anak.",Taman Hiburan,Surabaya,0,4.5,45.0,"{'lat': -7.2573072, 'lng': 112.7437199}",-7.2573072,112.7437199,18-25,5,Murah
2,"Bekasi, Jawa Barat",21,437,4,Gereja Perawan Maria Tak Berdosa Surabaya,"Gereja Katolik Kelahiran Santa Perawan Maria merupakan salah satu gereja tua di kota Surabaya, Jawa Timur, Indonesia. Berlokasi di Jalan Kepanjen, Surabaya, bangunan religius ini berdampingan dengan gedung SMA Katolik Frateran Surabaya.",Tempat Ibadah,Surabaya,10000,4.8,0.0,"{'lat': -7.2420758, 'lng': 112.7368158}",-7.2420758,112.7368158,18-25,5,Murah
2,"Bekasi, Jawa Barat",21,426,4,Balai Kota Surabaya,"Surabaya sebagai Resort Gemeente (Haminte) secara resmi mulai berdiri pada tanggal 1 April 1906. Sebelumnya Surabaya merupakan bagian dari karesidenan Pemerintah Haminte dijalankan oleh Dewan Haminte yang diketuai oleh asisten residen sebagai Kepala Daerah.\nTahun 1916 diangkat Wali kota Surabaya pertama, A. Meyroos yang bertugas sampai tahun 1921. Baru setelah wali kota yang kedua, G.J. DIJKERMAN, terpilih, rencana membangun gedung Balai Kota diwujudkan.\nGedung utama Balai Kota di Taman Surya di daerah Ketabang itu mulai dibangun pada tahun 1923 dan mulai ditempati pada tahun 1927. Arsiteknya ialah C. Citroen dan pelaksanaannya H.V. Hollandsche Beton Mij. Biaya seluruhnya, termasuk perlengkapan dan lain-lainnya, menghabiskan dana sekitar 1000 gulden.\n\nUkuran gedung utama: panjang 102 m dan lebar 19 m. Konstruksinya terdiri dari tiang-tiang pancang beton bertulang yang ditanam, sedangkan dinding-dindingnya diisi dengan bata dan semen. Atapnya terbuat dari rangka besi dan ditutup dengan sirap, Belakangan atap ini kemudian diganti dengan genteng.\nSetelah Republik Indonesia diproklamirkan, dilantiklah Radjamin Nasution sebagai Wali kota Kota Besar Surabaya. Berdasarkan Penpres 1959 No. 16 maka ditetapkan Wali kota menjadi Kepala Daerah Kota Surabaya. Tahun 1965 Kotapraja Surabaya resmi menjadi Kotamadya.",Budaya,Surabaya,0,4.7,60.0,"{'lat': -7.2592948, 'lng': 112.7470512}",-7.2592948,112.7470512,18-25,5,Murah
3,"Cirebon, Jawa Barat",23,421,3,Museum Kesehatan Dr. Adhyatma,"Museum Kesehatan Dr. Adhyatma, MPH adalah museum kesehatan yang dirintis Pemerintah indonesia melalui Departemen Kesehatan pada tanggal 16 Desember 2003. Museum Kesehatan Puslitbang Pelayanan dan Tehnologi kesehatan (PUSLITBANG YANTEKKES) diresmikan oleh Menteri Kesehatan pada tanggal 14 September 2004, sehingga diberi nama Museum Kesehatan Dr. Adhyatma, MPH.Museum Kesehatan Dr. Adhyatma, MPH, berlokasi di Jl. Indrapura 17 Surabaya Jawa Timur.",Budaya,Surabaya,10000,4.4,0.0,"{'lat': -7.240327999999999, 'lng': 112.731431}",-7.240328,112.731431,18-25,1,Murah
4,"Bekasi, Jawa Barat",21,409,3,Rumah Batik,"Di rumah batik ini terdapat sekitar 2000 lembar batik yang memiliki ragam corak yang beraneka macam. Aneka batik tersebut terbuat dari berbagai macam jenis bahan yaitu seperti prima, primis, santio, sutra, prishmina dan sarimpit. Tidak hanya kain batik saja yang dapat anda temukan di rumah batik ini melainkan juga ada sarung batik, baju batik, celana batik, rok batik, selendang batik, dan lain sebagainya. Untuk anda yang ingin segera mengunjungi rumah batik di Surabaya ini maka berikut informasi alamat dari rumah batik itu sendiri. Jadi rumah batik tersebut pada mulanya terletak di jalan tambak, dukuh 1, no.4, rt.01, rw.09, kelurahan kapasari, kecamatan genteng, Surabaya. Di tempat ini anda akan melihat berbagai macam batik yang di pajang yaitu mulai dari batik Surabaya, bangkalan, sidoarjo, sumenep, mojokerto, ponorogo, tuban, jombang, dan bojonegoro. Karena koleksi yang di miliki di rumah batik Surabaya ini sangat beragam tentu saja membuat banyak pengunjung yang ingin datang ke lokasi ini. Setelah itu rumah batik ini di pindah di lokasi jalan margorejo, no. 143, Surabaya.",Budaya,Surabaya,0,4.5,15.0,"{'lat': -7.278735999999999, 'lng': 112.718453}",-7.278736,112.718453,18-25,2,Murah
